"TAX","Revenue category","GOV","Level of government","YEA","Year","Value","Flag Codes","Flags"
"1210","1210 On profits of corporates","FED","Federal or Central government","1996","1996",18675.453,,
"1210","1210 On profits of corporates","FED","Federal or Central government","1997","1997",19409.255,,
"1210","1210 On profits of corporates","FED","Federal or Central government","1998","1998",23464.257,,
"1210","1210 On profits of corporates","FED","Federal or Central government","1999","1999",21006.7,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2000","2000",23987,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2001","2001",45566.826,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2002","2002",54975.472,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2003","2003",57965.722,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2004","2004",63111.105,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2005","2005",82627.92,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2006","2006",107977.06,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2007","2007",137884.946,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2008","2008",160234.856,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2009","2009",142319.351,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2010","2010",132274.849,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2011","2011",149776.774,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2012","2012",155751.201,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2013","2013",173737.856,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2014","2014",182022.257,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2015","2015",191348.248,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2016","2016",200764.557,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2017","2017",214316.365,,
"1210","1210 On profits of corporates","FED","Federal or Central government","2018","2018",215938.765,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","1990","1990",607.111,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","1991","1991",584.434,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","1992","1992",572.323,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","1993","1993",1160.112,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","1994","1994",1866.064,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","1995","1995",1617.68,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","1996","1996",3040.031,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","1997","1997",4681.989,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","1998","1998",6371.994,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","1999","1999",8389.9,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2000","2000",8887.101,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2001","2001",12955.391,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2002","2002",12680.383,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2003","2003",11504.425,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2004","2004",12015.483,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2005","2005",15289.936,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2006","2006",18745.584,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2007","2007",19150.539,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2008","2008",20883.484,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2009","2009",17303.177,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2010","2010",15957.006,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2011","2011",19302.715,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2012","2012",24220.193,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2013","2013",16007.976,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2014","2014",20485.919,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2015","2015",23649.358,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2016","2016",24946.318,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2017","2017",32489.481,,
"1300","1300 Unallocable between 1100 and 1200","FED","Federal or Central government","2018","2018",31062.227,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","1990","1990",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","1991","1991",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","1992","1992",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","1993","1993",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","1994","1994",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","1995","1995",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","1996","1996",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","1997","1997",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","1998","1998",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","1999","1999",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2000","2000",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2001","2001",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2002","2002",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2003","2003",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2004","2004",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2005","2005",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2006","2006",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2007","2007",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2008","2008",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2009","2009",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2010","2010",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2011","2011",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2012","2012",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2013","2013",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2014","2014",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2015","2015",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2016","2016",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2017","2017",0,,
"2000","2000 Social security contributions (SSC)","FED","Federal or Central government","2018","2018",0,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","1990","1990",0,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","1991","1991",0,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","1992","1992",0,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","1993","1993",0,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","1994","1994",0,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","1995","1995",0,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","1996","1996",0,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","1997","1997",0,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","1998","1998",0,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","1999","1999",0,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2000","2000",870.051,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2001","2001",2423.432,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2002","2002",3119.255,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2003","2003",3827.728,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2004","2004",4225.795,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2005","2005",4839.284,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2006","2006",5312.844,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2007","2007",6177.019,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2008","2008",7023.497,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2009","2009",7737.443,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2010","2010",8239.531,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2011","2011",9885.382,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2012","2012",11334.082,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2013","2013",11899.545,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2014","2014",13264.093,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2015","2015",15111.016,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2016","2016",15091.705,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2017","2017",15890.797,,
"3000","3000 Taxes on payroll and workforce","FED","Federal or Central government","2018","2018",17265.234,,
"4000","4000 Taxes on property","FED","Federal or Central government","1990","1990",1127.642,,
"4000","4000 Taxes on property","FED","Federal or Central government","1991","1991",1143.198,,
"4000","4000 Taxes on property","FED","Federal or Central government","1992","1992",1122.84,,
"4000","4000 Taxes on property","FED","Federal or Central government","1993","1993",1384.524,,
"4000","4000 Taxes on property","FED","Federal or Central government","1994","1994",1993.929,,
"4000","4000 Taxes on property","FED","Federal or Central government","1995","1995",2130.654,,
"4000","4000 Taxes on property","FED","Federal or Central government","1996","1996",2347.942,,
"4000","4000 Taxes on property","FED","Federal or Central government","1997","1997",2592.342,,
"4000","4000 Taxes on property","FED","Federal or Central government","1998","1998",2653.376,,
"4000","4000 Taxes on property","FED","Federal or Central government","1999","1999",3710.4,,
"4000","4000 Taxes on property","FED","Federal or Central government","2000","2000",3829.441,,
"4000","4000 Taxes on property","FED","Federal or Central government","2001","2001",4403.83,,
"4000","4000 Taxes on property","FED","Federal or Central government","2002","2002",5120.271,,
"4000","4000 Taxes on property","FED","Federal or Central government","2003","2003",6053.128,,
"4000","4000 Taxes on property","FED","Federal or Central government","2004","2004",8470.54,,
"4000","4000 Taxes on property","FED","Federal or Central government","2005","2005",10624.001,,
"4000","4000 Taxes on property","FED","Federal or Central government","2006","2006",10576.151,,
"4000","4000 Taxes on property","FED","Federal or Central government","2007","2007",11902.97,,
"4000","4000 Taxes on property","FED","Federal or Central government","2008","2008",10191.331,,
"4000","4000 Taxes on property","FED","Federal or Central government","2009","2009",8541.496,,
"4000","4000 Taxes on property","FED","Federal or Central government","2010","2010",9066.928,,
"4000","4000 Taxes on property","FED","Federal or Central government","2011","2011",8254.604,,
"4000","4000 Taxes on property","FED","Federal or Central government","2012","2012",8145.113,,
"4000","4000 Taxes on property","FED","Federal or Central government","2013","2013",10032.041,,
"4000","4000 Taxes on property","FED","Federal or Central government","2014","2014",12011.66,,
"4000","4000 Taxes on property","FED","Federal or Central government","2015","2015",14492.125,,
"4000","4000 Taxes on property","FED","Federal or Central government","2016","2016",15886.175,,
"4000","4000 Taxes on property","FED","Federal or Central government","2017","2017",15782.248,,
"4000","4000 Taxes on property","FED","Federal or Central government","2018","2018",16181.113,,
"4100","4100 Recurrent taxes on immovable property","FED","Federal or Central government","1990","1990",0,,
